epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.168,0.83878,3.5298,1.32843,0.00111,0.57143,0.03007,0.02144,0.73491,4.20037,1.20915,6.363e-05,6.363e-05,6.363e-05
2,235.668,0.41014,3.36153,1.09956,0.05958,0.70238,0.12733,0.08728,0.78082,4.27156,1.34006,0.000135,0.000135,0.000135
3,302.08,0.38594,3.27857,1.06438,0.03866,0.72619,0.10369,0.06573,0.87357,4.33576,1.45846,0.00020493,0.00020493,0.00020493
4,349.209,0.36638,3.18854,1.04138,0.02967,0.78571,0.11073,0.05679,1.19114,4.47091,1.79629,0.000273421,0.000273421,0.000273421
5,394.568,0.35706,3.04831,0.99242,0.01324,0.85714,0.12726,0.08068,0.65487,4.25414,1.08626,0.000340471,0.000340471,0.000340471
6,439.176,0.36786,2.93527,1.0226,0.0088,0.85714,0.14469,0.10349,0.4267,4.13986,0.81704,0.000406082,0.000406082,0.000406082
7,483.408,0.39103,2.84013,1.04491,0.0088,0.90476,0.13662,0.09497,0.43058,4.08329,0.76175,0.000470253,0.000470253,0.000470253
8,527.594,0.41326,2.69017,1.04673,0.00659,1,0.38116,0.21376,0.53316,4.09817,0.87,0.000532984,0.000532984,0.000532984
9,571.885,0.39357,2.52311,1.02937,0.0044,1,0.29374,0.24566,0.38517,3.6906,0.70279,0.000594275,0.000594275,0.000594275
10,628.194,0.38174,2.37237,1.01257,0.96885,0.06122,0.26392,0.21112,0.36956,3.54697,0.69042,0.000654126,0.000654126,0.000654126
11,683.028,0.44608,2.30687,1.05157,0.9288,0.09488,0.31762,0.25755,0.37869,3.42213,0.70442,0.000712538,0.000712538,0.000712538
12,738.319,0.37253,2.19018,1.01562,0.99359,0.08163,0.31762,0.22096,0.59628,3.73357,0.9147,0.000769509,0.000769509,0.000769509
